Bib,Inst,Var,Const,DomConst,CoverI,Nodes,Gap,CPU,Obj,Opt
0,scenario_1.txt,2025,4632,0,0,0,0.0,0.1,900.0,yes
0,scenario_10.txt,1636,3573,0,0,236,0.37,1.03,543.0,yes
0,scenario_11.txt,1687,3591,0,0,0,0.0,0.1,528.0,yes
0,scenario_12.txt,2073,4839,0,0,0,0.0,0.14,906.0,yes
0,scenario_13.txt,1937,4413,0,0,0,0.13,0.15,765.0,yes
0,scenario_14.txt,2014,4626,0,0,0,0.0,0.11,807.0,yes
0,scenario_15.txt,2019,4587,0,0,0,0.07,0.19,761.0,yes
0,scenario_16.txt,1809,4029,0,0,0,0.15,0.12,687.0,yes
0,scenario_17.txt,2065,4761,0,0,0,0.0,0.15,836.0,yes
0,scenario_18.txt,2061,4767,0,0,0,0.35,0.2,927.0,yes
0,scenario_19.txt,1946,4377,0,0,0,0.33,1.06,779.0,yes
0,scenario_2.txt,2049,4704,0,0,0,0.16,0.14,920.0,yes
0,scenario_20.txt,2067,4749,0,0,0,0.25,0.25,796.0,yes
0,scenario_3.txt,2039,4647,0,0,0,0.54,0.5,927.0,yes
0,scenario_4.txt,1979,4485,0,0,0,0.0,0.07,863.0,yes
0,scenario_5.txt,2056,4698,0,0,3021,1.33,1.02,905.0,yes
0,scenario_6.txt,1917,4299,0,0,8759,2.51,5.09,797.0,yes
0,scenario_7.txt,1897,4275,0,0,1812,0.63,1.05,797.0,yes
0,scenario_8.txt,2040,4641,0,0,1006,0.81,1.07,868.0,yes
0,scenario_9.txt,1969,4410,0,0,33547,2.09,6.12,791.0,yes
