Bib,Inst,Var,Const,DomConst,CoverI,Nodes,Gap,CPU
0,scenario_1.txt,2025,4632,0,0,0,0.0,0.25
0,scenario_10.txt,1636,3573,0,0,236,0.37,34.02
0,scenario_11.txt,1687,3591,0,0,0,0.0,0.17
0,scenario_12.txt,2073,4839,0,0,0,0.0,0.21
0,scenario_13.txt,1937,4413,0,0,0,0.13,0.5
0,scenario_14.txt,2014,4626,0,0,0,0.0,0.28
0,scenario_15.txt,2019,4587,0,0,0,0.07,0.41
0,scenario_16.txt,1809,4029,0,0,0,0.15,0.32
0,scenario_17.txt,2065,4761,0,0,0,0.0,0.23
0,scenario_18.txt,2061,4767,0,0,0,0.35,0.34
0,scenario_19.txt,1946,4377,0,0,0,0.33,5.87
0,scenario_2.txt,2049,4704,0,0,0,0.16,0.64
0,scenario_20.txt,2067,4749,0,0,0,0.25,0.69
0,scenario_3.txt,2039,4647,0,0,0,0.54,8.84
0,scenario_4.txt,1979,4485,0,0,0,0.0,0.22
0,scenario_5.txt,2056,4698,0,0,3021,1.33,16.12
0,scenario_6.txt,1917,4299,0,0,8759,2.51,43.03
0,scenario_7.txt,1897,4275,0,0,1812,0.63,14.64
0,scenario_8.txt,2040,4641,0,0,1006,0.81,28.88
0,scenario_9.txt,1969,4410,0,0,33547,2.09,43.2
