// Nombre d'états (#T), de HAPS (#H), de positions envisageables pour le déploiement (#E) de types de communication (#C), d'unités (#U) et de bases (#B)
1, 4, 67, 1, 10, 1

// Altitude de déploiement des HAPS (A)
20

// Nombre de relais par type de communication (R_1, R_2, ...)
6

// Types de communication de chaque unité (C_u)
1
1
1
1
1
1
1
1
1
1

// Portée de chaque unité par type de communication (P_u)
146
163
156
86
151
94
150
106
92
135

// Types de communication de chaque base (C_b)
1

// Positions des bases (x_b, y_b)
482, 658

// Positions envisageables pour le déploiement d'un HAPS (x_e, y_e)
0, 0
200, 0
400, 0
600, 0
800, 0
1000, 0
0, 100
200, 100
400, 100
500, 100
600, 100
800, 100
1000, 100
0, 200
200, 200
400, 200
600, 200
800, 200
1000, 200
0, 300
200, 300
400, 300
600, 300
800, 300
1000, 300
0, 400
200, 400
400, 400
600, 400
800, 400
1000, 400
0, 500
200, 500
400, 500
600, 500
800, 500
1000, 500
0, 600
200, 600
400, 600
600, 600
800, 600
1000, 600
0, 700
200, 700
400, 700
600, 700
800, 700
1000, 700
0, 800
200, 800
400, 800
600, 800
800, 800
1000, 800
0, 900
200, 900
400, 900
600, 900
800, 900
1000, 900
0, 1000
200, 1000
400, 1000
600, 1000
800, 1000
1000, 1000

// Poids et puissance maximale de chacun des HAPS (W_h, P_h)
167, 205
168, 106
182, 100
166, 246

// Poids, puissance et portée de chacun des relais de type 1 (w_r, p_r, s_r)
41, 45, 100
58, 54, 150
55, 49, 200
41, 45, 100
58, 54, 150
55, 49, 200
